id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,Loan Status Predicted
61004,42,62400,OWN,26.0,PERSONAL,B,5000,12.53,0.08,N,17,0
61005,22,60000,RENT,3.0,EDUCATION,D,16000,17.58,0.27,N,2,0
61006,26,30000,RENT,3.0,MEDICAL,C,7000,13.23,0.23,Y,4,0
61007,41,44000,RENT,1.0,HOMEIMPROVEMENT,B,8000,9.99,0.18,N,15,1
61008,29,78000,MORTGAGE,9.0,HOMEIMPROVEMENT,A,5575,7.88,0.07,N,8,0
61009,27,77000,MORTGAGE,2.0,MEDICAL,A,12000,7.29,0.16,N,8,0
61010,35,48880,RENT,3.0,PERSONAL,B,15000,10.65,0.31,N,6,1
61011,22,100000,MORTGAGE,3.0,EDUCATION,A,6000,8.32,0.06,N,2,0
61012,24,100000,RENT,2.0,HOMEIMPROVEMENT,B,10000,10.95,0.1,N,4,0
61013,26,49000,OWN,10.0,VENTURE,A,4200,9.32,0.08,N,4,0
61014,24,30000,RENT,4.0,MEDICAL,B,10000,9.63,0.33,N,2,1
61015,26,78000,RENT,4.0,MEDICAL,F,10000,18.53,0.13,N,4,1
61016,28,30000,MORTGAGE,12.0,EDUCATION,A,7500,7.14,0.25,N,5,0
61017,21,35000,RENT,5.0,MEDICAL,B,10000,10.37,0.29,N,4,0
61018,25,175000,MORTGAGE,9.0,PERSONAL,B,25000,11.49,0.14,N,2,0
61019,29,68000,RENT,2.0,DEBTCONSOLIDATION,A,3000,7.51,0.04,N,5,0
61020,27,60000,RENT,1.0,DEBTCONSOLIDATION,C,20000,13.98,0.33,N,9,1
61021,32,70000,MORTGAGE,8.0,EDUCATION,A,4000,6.76,0.06,N,7,0
61022,21,27120,RENT,0.0,DEBTCONSOLIDATION,C,8500,13.11,0.31,N,2,1
61023,27,40000,RENT,5.0,VENTURE,A,10000,7.88,0.25,N,9,0
61024,22,38117,MORTGAGE,0.0,PERSONAL,B,13500,11.83,0.35,N,2,0
61025,36,70000,RENT,8.0,EDUCATION,B,20000,11.49,0.29,N,15,0
61026,25,65000,OWN,3.0,VENTURE,A,10000,7.9,0.15,N,2,0
61027,24,200000,OWN,3.0,VENTURE,B,15000,11.14,0.07,N,4,0
61028,24,40000,RENT,3.0,DEBTCONSOLIDATION,A,4600,7.51,0.12,N,2,0
61029,36,57600,RENT,3.0,DEBTCONSOLIDATION,C,8000,13.49,0.14,Y,12,0
61030,22,85000,MORTGAGE,6.0,EDUCATION,B,10000,11.11,0.12,N,2,0
61031,31,30000,RENT,0.0,PERSONAL,B,12000,11.36,0.4,N,5,1
61032,25,30000,OWN,0.0,PERSONAL,A,10000,9.32,0.33,N,4,0
61033,33,35280,OWN,1.0,VENTURE,C,10375,11.03,0.29,Y,9,0
61034,22,70000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,10000,13.49,0.14,N,3,0
61035,21,19200,OWN,5.0,EDUCATION,D,1200,16.32,0.06,Y,3,0
61036,24,50000,RENT,1.0,HOMEIMPROVEMENT,B,15000,10.99,0.3,N,4,0
61037,27,64000,RENT,2.0,DEBTCONSOLIDATION,D,8000,15.05,0.13,Y,7,1
61038,23,75000,OWN,7.0,EDUCATION,C,9250,13.11,0.12,Y,3,0
61039,24,55000,OWN,8.0,HOMEIMPROVEMENT,A,5000,7.49,0.09,N,4,0
61040,26,45000,RENT,0.0,MEDICAL,A,2400,7.9,0.05,N,4,0
61041,35,50000,RENT,16.0,MEDICAL,B,16000,10.25,0.32,N,7,1
61042,22,47000,RENT,2.0,EDUCATION,C,7000,11.03,0.15,N,4,0
61043,29,80000,MORTGAGE,9.0,EDUCATION,A,12000,6.91,0.15,N,7,0
61044,27,40000,RENT,11.0,EDUCATION,C,10000,13.57,0.25,Y,6,0
61045,22,25000,RENT,2.0,DEBTCONSOLIDATION,C,8000,12.73,0.32,Y,4,1
61046,23,74196,MORTGAGE,4.0,VENTURE,B,24000,11.86,0.32,N,4,0
61047,26,80000,RENT,10.0,VENTURE,B,7000,10.65,0.09,N,3,0
61048,22,60000,RENT,2.0,VENTURE,C,5000,12.99,0.08,N,3,0
61049,42,105000,MORTGAGE,0.0,HOMEIMPROVEMENT,D,12100,16.49,0.12,N,11,0
61050,40,180000,RENT,9.0,PERSONAL,C,10000,14.26,0.06,N,14,0
61051,28,66996,RENT,8.0,PERSONAL,C,12000,12.87,0.18,N,10,0
61052,24,160000,MORTGAGE,7.0,VENTURE,B,14000,10.62,0.09,N,2,0
61053,23,50000,RENT,1.0,PERSONAL,C,18000,12.99,0.36,Y,2,1
61054,26,64800,RENT,1.0,PERSONAL,A,2000,8.49,0.03,N,2,0
61055,37,55000,OWN,2.0,PERSONAL,C,10000,14.65,0.18,N,11,0
61056,24,140000,MORTGAGE,6.0,MEDICAL,A,13000,6.54,0.09,N,4,0
61057,30,45000,MORTGAGE,5.0,HOMEIMPROVEMENT,C,6000,13.49,0.13,N,8,0
61058,31,85000,RENT,0.0,MEDICAL,A,12000,8.59,0.14,N,7,0
61059,26,59000,OWN,3.0,EDUCATION,A,10800,7.51,0.18,N,3,0
61060,22,68000,RENT,1.0,EDUCATION,A,14400,7.51,0.21,N,4,0
61061,32,30000,RENT,4.0,EDUCATION,C,8000,13.92,0.27,N,9,0
61062,23,27000,RENT,3.0,VENTURE,A,4000,7.88,0.14,N,3,0
61063,22,41000,RENT,6.0,MEDICAL,D,8500,15.58,0.21,N,4,1
61064,30,65000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,3000,6.92,0.05,N,5,0
61065,22,45000,MORTGAGE,6.0,EDUCATION,B,5000,11.12,0.11,N,4,0
61066,28,140000,MORTGAGE,11.0,VENTURE,D,10000,14.96,0.07,Y,8,0
61067,22,55000,MORTGAGE,0.0,EDUCATION,A,10000,5.99,0.18,N,4,0
61068,29,68000,MORTGAGE,5.0,MEDICAL,E,15000,16.0,0.22,N,6,1
61069,24,50000,RENT,0.0,PERSONAL,B,6000,9.45,0.12,N,4,0
61070,51,75000,MORTGAGE,2.0,VENTURE,A,4000,5.42,0.05,N,22,0
61071,27,58650,RENT,2.0,MEDICAL,A,5000,8.63,0.07,N,9,0
61072,29,120000,MORTGAGE,13.0,DEBTCONSOLIDATION,A,2000,5.42,0.02,N,8,0
61073,36,45000,MORTGAGE,0.0,PERSONAL,A,6000,7.51,0.13,N,11,0
61074,25,55000,RENT,9.0,DEBTCONSOLIDATION,B,8500,10.99,0.15,N,3,0
61075,25,40000,RENT,2.0,VENTURE,B,1200,12.21,0.03,N,2,0
61076,24,35000,RENT,5.0,EDUCATION,A,8000,7.88,0.23,N,3,0
61077,27,80000,RENT,1.0,EDUCATION,B,21000,11.36,0.26,N,9,0
61078,26,113000,MORTGAGE,2.0,DEBTCONSOLIDATION,D,12000,15.99,0.11,N,3,1
61079,33,52000,MORTGAGE,6.0,VENTURE,E,5000,15.68,0.1,N,10,0
61080,22,65000,MORTGAGE,6.0,EDUCATION,A,6000,7.49,0.09,N,3,0
61081,40,54000,RENT,0.0,DEBTCONSOLIDATION,A,6000,6.54,0.11,N,17,0
61082,28,48996,RENT,2.0,MEDICAL,B,10000,10.37,0.2,N,5,0
61083,27,54000,MORTGAGE,11.0,MEDICAL,A,10000,6.03,0.19,N,10,0
61084,27,42000,MORTGAGE,3.0,VENTURE,B,5000,10.38,0.12,N,9,0
61085,28,52000,RENT,2.0,MEDICAL,B,20000,12.53,0.37,N,9,1
61086,26,45000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,5000,7.74,0.11,N,2,0
61087,29,42000,MORTGAGE,4.0,MEDICAL,A,3500,6.03,0.08,N,9,0
61088,24,85000,OWN,0.0,PERSONAL,A,10000,6.99,0.12,N,2,0
61089,25,36000,RENT,2.0,MEDICAL,B,5000,10.37,0.14,N,2,0
61090,25,70000,MORTGAGE,9.0,VENTURE,B,8000,10.0,0.11,N,2,0
61091,27,75000,RENT,11.0,MEDICAL,B,22000,11.48,0.28,N,10,0
61092,24,120000,MORTGAGE,2.0,MEDICAL,A,10000,7.49,0.08,N,2,0
61093,37,45000,RENT,0.0,DEBTCONSOLIDATION,A,15000,7.66,0.33,N,13,1
61094,23,40000,RENT,0.0,PERSONAL,B,2525,12.21,0.06,N,2,0
61095,23,39000,MORTGAGE,4.0,DEBTCONSOLIDATION,D,14000,14.54,0.36,Y,3,1
61096,28,60000,MORTGAGE,12.0,VENTURE,A,7000,9.32,0.12,N,7,0
61097,32,139992,MORTGAGE,2.0,DEBTCONSOLIDATION,A,5600,7.51,0.04,N,6,0
61098,22,50000,MORTGAGE,6.0,MEDICAL,B,12800,8.88,0.26,N,3,0
61099,28,85000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,6000,6.92,0.07,N,8,0
61100,22,69077,MORTGAGE,6.0,EDUCATION,A,6500,6.03,0.1,N,3,0
61101,28,70000,MORTGAGE,8.0,EDUCATION,B,5000,11.71,0.07,N,7,0
61102,27,35196,RENT,2.0,MEDICAL,D,6000,14.54,0.17,N,7,1
61103,22,59500,MORTGAGE,1.0,DEBTCONSOLIDATION,B,6000,11.71,0.09,N,3,0
61104,35,45000,RENT,2.0,EDUCATION,A,12600,6.99,0.28,N,7,0
61105,41,24000,OWN,0.0,VENTURE,C,6000,12.87,0.25,N,11,0
61106,25,50000,MORTGAGE,6.0,MEDICAL,B,6000,10.65,0.12,N,4,0
61107,31,52800,RENT,1.0,MEDICAL,C,4200,11.97,0.08,N,8,0
61108,42,80000,RENT,14.0,DEBTCONSOLIDATION,B,25000,10.38,0.31,N,13,1
61109,33,25000,RENT,2.0,MEDICAL,E,3000,17.99,0.12,N,6,1
61110,25,180000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,24250,10.62,0.13,N,3,0
61111,27,34000,MORTGAGE,4.0,PERSONAL,C,5000,15.23,0.15,Y,10,0
61112,26,53000,MORTGAGE,10.0,EDUCATION,C,10000,13.49,0.19,Y,2,0
61113,24,40000,MORTGAGE,8.0,PERSONAL,A,6000,7.9,0.15,N,3,0
61114,27,116400,MORTGAGE,3.0,DEBTCONSOLIDATION,C,8000,13.61,0.07,N,9,0
61115,28,52700,MORTGAGE,3.0,EDUCATION,B,4500,11.49,0.08,N,8,0
61116,26,30000,RENT,6.0,DEBTCONSOLIDATION,A,13000,8.49,0.43,N,4,1
61117,27,95000,RENT,3.0,VENTURE,B,10000,11.49,0.11,N,6,0
61118,33,47700,RENT,1.0,DEBTCONSOLIDATION,B,6000,9.99,0.13,N,8,0
61119,38,50000,RENT,2.0,VENTURE,C,2000,13.22,0.04,Y,13,0
61120,22,63000,RENT,3.0,MEDICAL,A,20000,8.0,0.32,N,4,1
61121,25,33000,RENT,3.0,VENTURE,C,3000,14.79,0.09,Y,2,0
61122,32,50000,RENT,9.0,VENTURE,B,2100,11.49,0.04,N,6,0
61123,33,70000,MORTGAGE,4.0,DEBTCONSOLIDATION,B,25000,11.86,0.34,N,10,0
61124,31,95000,MORTGAGE,6.0,MEDICAL,A,5000,7.14,0.05,N,8,0
61125,27,85000,MORTGAGE,7.0,VENTURE,A,7200,7.29,0.08,N,10,0
61126,27,75000,RENT,5.0,VENTURE,B,11000,10.99,0.15,N,8,0
61127,34,69000,MORTGAGE,13.0,HOMEIMPROVEMENT,B,7550,10.65,0.11,N,5,0
61128,24,36000,MORTGAGE,5.0,MEDICAL,A,8000,7.51,0.22,N,2,0
61129,58,54000,MORTGAGE,0.0,PERSONAL,C,1200,15.96,0.02,N,20,0
61130,25,60000,RENT,2.0,EDUCATION,A,10000,6.92,0.17,N,4,0
61131,33,40000,RENT,5.0,VENTURE,B,5000,12.42,0.13,N,6,0
61132,25,130000,MORTGAGE,9.0,MEDICAL,B,6000,11.86,0.05,N,3,0
61133,44,50000,RENT,4.0,PERSONAL,B,3000,12.18,0.06,N,14,0
61134,28,70000,MORTGAGE,12.0,EDUCATION,D,12000,16.77,0.17,N,8,0
61135,22,84000,MORTGAGE,6.0,MEDICAL,A,6000,6.03,0.07,N,4,0
61136,33,61000,RENT,3.0,DEBTCONSOLIDATION,B,7500,10.39,0.12,N,6,0
61137,22,65004,MORTGAGE,6.0,MEDICAL,A,6000,7.88,0.09,N,4,0
61138,28,50000,MORTGAGE,7.0,VENTURE,A,10000,6.92,0.2,N,8,0
61139,24,47000,MORTGAGE,8.0,VENTURE,A,6550,6.62,0.14,N,2,0
61140,28,12000,RENT,0.0,EDUCATION,C,2000,12.84,0.19,N,8,1
61141,24,72000,RENT,6.0,MEDICAL,B,8000,9.99,0.11,N,3,0
61142,26,35000,OWN,6.0,EDUCATION,A,12500,8.94,0.36,N,3,0
61143,38,30000,RENT,0.0,EDUCATION,A,5600,7.29,0.19,N,13,0
61144,39,55000,RENT,3.0,HOMEIMPROVEMENT,B,17000,11.36,0.31,N,15,1
61145,44,50000,RENT,5.0,HOMEIMPROVEMENT,B,8000,11.86,0.16,N,11,0
61146,22,80000,MORTGAGE,7.0,PERSONAL,B,12000,10.59,0.15,N,3,0
61147,22,30000,RENT,3.0,PERSONAL,B,6000,11.99,0.2,N,4,0
61148,27,102996,MORTGAGE,5.0,DEBTCONSOLIDATION,D,25000,14.54,0.24,N,9,1
61149,23,93000,RENT,2.0,PERSONAL,A,10000,8.0,0.11,N,4,0
61150,30,50000,MORTGAGE,0.0,HOMEIMPROVEMENT,B,10000,11.49,0.2,N,8,0
61151,25,60000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,8000,6.76,0.13,N,3,0
61152,22,70000,RENT,0.0,VENTURE,A,12000,7.29,0.17,N,2,0
61153,41,125000,MORTGAGE,5.0,HOMEIMPROVEMENT,A,15000,6.62,0.12,N,13,0
61154,33,42000,RENT,0.0,EDUCATION,C,1600,13.57,0.04,Y,8,0
61155,25,58000,RENT,4.0,VENTURE,B,15000,11.83,0.26,N,4,0
61156,26,45000,RENT,0.0,HOMEIMPROVEMENT,D,10000,16.49,0.22,Y,2,1
61157,29,100000,RENT,11.0,EDUCATION,A,15000,8.0,0.15,N,10,0
61158,24,86000,RENT,0.0,HOMEIMPROVEMENT,D,20000,14.61,0.23,N,3,1
61159,32,83300,MORTGAGE,16.0,MEDICAL,D,24250,14.61,0.26,Y,7,1
61160,31,25000,RENT,9.0,MEDICAL,C,8000,13.49,0.32,N,5,1
61161,23,42500,RENT,2.0,DEBTCONSOLIDATION,C,15000,12.61,0.35,N,4,1
61162,22,59000,RENT,5.0,MEDICAL,C,10000,13.61,0.17,Y,3,0
61163,42,32004,RENT,1.0,PERSONAL,D,10000,14.11,0.31,N,14,1
61164,23,63800,MORTGAGE,7.0,DEBTCONSOLIDATION,B,5000,9.99,0.08,N,2,0
61165,49,28800,RENT,3.0,DEBTCONSOLIDATION,C,4750,13.57,0.16,N,16,0
61166,29,80000,RENT,4.0,VENTURE,A,15000,6.62,0.19,N,7,0
61167,23,60000,RENT,0.0,PERSONAL,B,4000,9.25,0.07,N,2,0
61168,28,76000,RENT,4.0,PERSONAL,A,20000,6.54,0.26,N,5,0
61169,21,65000,MORTGAGE,5.0,DEBTCONSOLIDATION,B,10000,10.75,0.15,N,2,0
61170,30,36000,MORTGAGE,3.0,PERSONAL,A,5000,8.0,0.14,N,7,0
61171,32,39000,RENT,0.0,MEDICAL,E,5000,16.77,0.13,Y,5,1
61172,27,38000,MORTGAGE,11.0,VENTURE,A,6000,7.43,0.16,N,8,0
61173,26,75000,MORTGAGE,3.0,EDUCATION,C,10000,13.35,0.13,Y,3,0
61174,22,61500,RENT,2.0,MEDICAL,B,18000,10.37,0.29,N,3,0
61175,23,30000,MORTGAGE,3.0,MEDICAL,D,1000,15.99,0.03,N,2,1
61176,22,50000,MORTGAGE,6.0,PERSONAL,A,10000,6.54,0.2,N,3,0
61177,27,25000,RENT,3.0,VENTURE,A,3000,7.9,0.12,N,9,0
61178,23,40000,RENT,2.0,PERSONAL,C,1000,13.57,0.03,N,3,0
61179,39,60000,RENT,19.0,MEDICAL,B,15000,9.99,0.25,N,16,0
61180,22,48000,RENT,4.0,PERSONAL,B,4200,11.99,0.09,N,4,0
61181,29,108800,MORTGAGE,3.0,MEDICAL,A,28000,7.88,0.23,N,6,0
61182,27,130000,RENT,2.0,MEDICAL,A,16500,6.54,0.12,N,7,0
61183,24,100000,RENT,2.0,VENTURE,D,12800,16.49,0.13,Y,4,1
61184,23,110000,MORTGAGE,5.0,VENTURE,B,15000,11.14,0.14,N,3,0
61185,28,60000,RENT,7.0,PERSONAL,B,6000,11.49,0.1,N,8,0
61186,34,132000,MORTGAGE,18.0,EDUCATION,C,11200,15.96,0.08,N,8,0
61187,24,100896,RENT,7.0,HOMEIMPROVEMENT,D,15000,14.42,0.15,Y,4,0
61188,34,30000,RENT,2.0,PERSONAL,B,13250,10.99,0.44,N,5,1
61189,31,102000,MORTGAGE,5.0,EDUCATION,B,15000,11.36,0.15,N,7,0
61190,25,52000,RENT,10.0,MEDICAL,C,3000,14.65,0.53,Y,2,1
61191,25,84000,MORTGAGE,9.0,PERSONAL,B,5000,10.59,0.06,N,3,0
61192,22,46000,RENT,5.0,DEBTCONSOLIDATION,D,6400,17.56,0.14,Y,2,1
61193,22,60000,RENT,3.0,EDUCATION,A,25000,7.88,0.44,N,4,1
61194,29,14400,RENT,3.0,EDUCATION,C,5000,12.73,0.35,Y,10,1
61195,22,65000,MORTGAGE,0.0,VENTURE,A,3500,6.76,0.05,N,4,0
61196,23,50000,MORTGAGE,4.0,DEBTCONSOLIDATION,B,6000,11.71,0.12,N,3,0
61197,23,58000,RENT,3.0,EDUCATION,B,6000,10.59,0.1,N,4,0
61198,23,30000,RENT,3.0,DEBTCONSOLIDATION,A,8000,7.49,0.27,N,3,0
61199,27,120000,MORTGAGE,11.0,HOMEIMPROVEMENT,A,7000,5.42,0.06,N,7,0
61200,21,50000,RENT,5.0,EDUCATION,C,6000,13.49,0.12,N,3,0
61201,27,125000,RENT,11.0,VENTURE,B,12000,11.11,0.1,N,7,0
61202,23,141000,MORTGAGE,2.0,VENTURE,A,10000,5.99,0.07,N,4,0
61203,23,45000,RENT,0.0,PERSONAL,C,12000,13.48,0.27,Y,4,0
61204,45,125000,MORTGAGE,11.0,DEBTCONSOLIDATION,A,7500,7.29,0.06,N,14,0
61205,27,49200,OWN,11.0,EDUCATION,C,4800,14.65,0.1,N,8,0
61206,22,55000,RENT,6.0,EDUCATION,A,6000,8.9,0.11,N,2,0
61207,22,29760,MORTGAGE,6.0,DEBTCONSOLIDATION,A,8500,5.42,0.27,N,4,0
61208,25,42996,RENT,0.0,HOMEIMPROVEMENT,A,6000,7.51,0.14,N,4,0
61209,39,95000,RENT,6.0,VENTURE,A,12000,7.29,0.13,N,16,0
61210,26,100000,MORTGAGE,1.0,PERSONAL,A,8000,6.76,0.08,N,3,0
61211,25,120000,MORTGAGE,9.0,PERSONAL,A,20000,7.51,0.17,N,4,0
61212,26,65000,RENT,7.0,HOMEIMPROVEMENT,D,15000,14.54,0.23,N,4,0
61213,22,41600,MORTGAGE,4.0,EDUCATION,B,13000,10.37,0.32,N,3,0
61214,37,54538,MORTGAGE,21.0,VENTURE,B,15000,11.14,0.28,N,15,0
61215,24,75000,RENT,2.0,HOMEIMPROVEMENT,B,14000,11.89,0.19,N,3,0
61216,30,36000,RENT,0.0,PERSONAL,A,6000,8.49,0.17,N,7,0
61217,32,38000,OWN,10.0,HOMEIMPROVEMENT,B,10400,9.91,0.28,N,7,0
61218,32,32000,MORTGAGE,0.0,PERSONAL,C,8000,13.98,0.25,Y,8,0
61219,27,50000,MORTGAGE,2.0,VENTURE,C,10000,12.87,0.2,N,10,0
61220,29,90000,MORTGAGE,13.0,VENTURE,C,25000,11.34,0.27,Y,8,0
61221,29,110004,RENT,13.0,MEDICAL,B,12000,10.36,0.11,N,7,0
61222,24,44160,MORTGAGE,11.0,VENTURE,A,6000,7.51,0.14,N,3,0
61223,25,80000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,5000,5.79,0.06,N,2,0
61224,22,54828,MORTGAGE,7.0,VENTURE,E,6000,16.0,0.11,Y,4,0
61225,28,100000,MORTGAGE,12.0,VENTURE,A,11000,6.03,0.11,N,9,0
61226,24,76000,MORTGAGE,5.0,EDUCATION,B,20000,10.99,0.26,N,4,0
61227,31,75000,MORTGAGE,6.0,HOMEIMPROVEMENT,B,12000,9.91,0.16,N,10,0
61228,34,58000,RENT,4.0,EDUCATION,C,6400,13.49,0.11,Y,9,0
61229,25,55000,RENT,2.0,PERSONAL,A,4000,7.9,0.07,N,3,0
61230,30,66500,MORTGAGE,4.0,VENTURE,C,15000,13.22,0.23,N,8,0
61231,30,50000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,15000,7.9,0.3,N,9,0
61232,37,28000,OWN,5.0,VENTURE,B,10000,11.71,0.35,N,16,0
61233,27,138000,RENT,1.0,VENTURE,B,11000,12.69,0.08,N,8,0
61234,24,48720,MORTGAGE,4.0,PERSONAL,E,13000,16.63,0.27,N,2,0
61235,23,48000,RENT,5.0,VENTURE,B,15000,10.75,0.31,N,2,1
61236,35,80000,RENT,2.0,DEBTCONSOLIDATION,B,22000,10.25,0.28,N,9,0
61237,33,69996,RENT,5.0,DEBTCONSOLIDATION,C,14000,12.84,0.2,N,5,0
61238,23,48000,RENT,7.0,PERSONAL,B,15000,9.99,0.31,N,2,1
61239,36,31000,RENT,2.0,MEDICAL,D,3600,14.11,0.12,N,13,1
61240,37,35000,RENT,3.0,MEDICAL,B,8000,10.59,0.23,N,14,0
61241,25,42000,MORTGAGE,2.0,PERSONAL,B,10000,10.75,0.24,N,3,0
61242,31,50000,RENT,15.0,EDUCATION,D,15000,14.96,0.3,Y,6,0
61243,23,50000,RENT,1.0,EDUCATION,C,5600,15.96,0.11,N,2,0
61244,27,65000,MORTGAGE,11.0,DEBTCONSOLIDATION,B,3600,10.62,0.06,N,5,0
61245,33,34000,RENT,5.0,VENTURE,D,4800,14.54,0.14,Y,7,0
61246,27,36000,OWN,11.0,MEDICAL,C,12000,13.11,0.33,N,10,0
61247,25,73500,RENT,5.0,HOMEIMPROVEMENT,C,8100,12.99,0.11,Y,2,0
61248,29,30000,OWN,5.0,VENTURE,A,5000,7.29,0.17,N,7,0
61249,28,69600,OWN,11.0,PERSONAL,A,5000,8.32,0.07,N,5,0
61250,25,80004,RENT,9.0,EDUCATION,B,15000,11.12,0.19,N,4,0
61251,31,48000,MORTGAGE,6.0,MEDICAL,B,10000,10.62,0.21,N,5,0
61252,22,30000,RENT,0.0,VENTURE,A,12000,7.49,0.4,N,3,1
61253,38,50000,RENT,4.0,VENTURE,E,20000,16.7,0.4,N,17,1
61254,70,36000,RENT,2.0,MEDICAL,C,5000,14.79,0.14,Y,24,0
61255,21,29000,RENT,5.0,MEDICAL,D,6400,14.96,0.22,Y,2,1
61256,32,26400,RENT,4.0,EDUCATION,A,4500,7.9,0.17,N,6,0
61257,24,115500,RENT,2.0,EDUCATION,B,20000,10.46,0.17,N,4,0
61258,25,58000,MORTGAGE,3.0,VENTURE,A,8000,5.99,0.14,N,2,0
61259,34,85000,RENT,0.0,DEBTCONSOLIDATION,B,7200,9.25,0.08,N,5,0
61260,26,47360,RENT,5.0,HOMEIMPROVEMENT,D,6000,14.46,0.13,Y,3,0
61261,25,42000,RENT,2.0,VENTURE,B,10000,10.75,0.24,N,3,0
61262,26,68000,RENT,0.0,VENTURE,B,14400,10.74,0.21,N,2,0
61263,32,42000,RENT,1.0,MEDICAL,B,10000,9.25,0.24,N,8,0
61264,22,60000,MORTGAGE,3.0,VENTURE,A,15000,7.88,0.25,N,3,0
61265,23,120000,MORTGAGE,7.0,DEBTCONSOLIDATION,C,7500,13.92,0.06,Y,2,0
61266,23,110000,RENT,0.0,PERSONAL,A,10000,7.66,0.09,N,2,0
61267,33,44000,RENT,3.0,PERSONAL,A,10000,5.42,0.23,N,8,0
61268,22,50000,RENT,6.0,VENTURE,A,8000,7.14,0.16,N,2,0
61269,28,60000,RENT,4.0,MEDICAL,D,15000,14.91,0.25,Y,10,1
61270,23,74800,RENT,4.0,MEDICAL,E,3000,16.45,0.04,Y,3,1
61271,21,33000,RENT,4.0,PERSONAL,D,3000,15.62,0.09,N,2,1
61272,30,96000,RENT,3.0,HOMEIMPROVEMENT,B,12000,10.99,0.13,N,8,0
61273,29,92004,RENT,5.0,EDUCATION,D,24250,12.61,0.26,Y,9,0
61274,37,100000,MORTGAGE,3.0,MEDICAL,B,5000,10.37,0.05,N,16,0
61275,35,90000,MORTGAGE,12.0,VENTURE,B,15000,11.14,0.17,N,8,0
61276,25,42000,RENT,1.0,EDUCATION,B,8000,10.0,0.19,N,2,0
61277,39,60000,RENT,0.0,MEDICAL,B,6400,10.99,0.11,N,11,0
61278,26,30000,RENT,4.0,MEDICAL,B,5000,11.86,0.17,N,3,0
61279,23,48000,MORTGAGE,5.0,PERSONAL,C,7200,13.48,0.15,N,2,0
61280,25,55000,RENT,5.0,VENTURE,C,4000,13.49,0.07,N,3,0
61281,27,180000,MORTGAGE,2.0,PERSONAL,A,9500,6.62,0.05,N,9,0
61282,23,60000,MORTGAGE,6.0,EDUCATION,B,5000,11.71,0.08,N,3,0
61283,32,39600,MORTGAGE,16.0,PERSONAL,B,8250,10.25,0.21,N,6,0
61284,37,31200,MORTGAGE,7.0,DEBTCONSOLIDATION,B,7500,9.88,0.24,N,11,0
61285,29,24996,MORTGAGE,0.0,EDUCATION,C,7000,12.53,0.29,N,5,0
61286,26,42000,RENT,1.0,EDUCATION,C,8500,11.03,0.19,N,2,0
61287,21,30000,RENT,4.0,EDUCATION,C,5600,13.61,0.19,Y,3,0
61288,23,46000,MORTGAGE,3.0,EDUCATION,B,13000,11.26,0.28,N,3,0
61289,25,36000,OWN,3.0,MEDICAL,A,12000,6.03,0.33,N,2,0
61290,33,48000,RENT,17.0,VENTURE,A,4000,6.99,0.08,N,10,0
61291,25,35000,RENT,0.0,PERSONAL,A,5000,8.94,0.14,N,4,0
61292,23,34000,RENT,1.0,MEDICAL,B,6000,12.69,0.18,N,4,0
61293,27,70000,MORTGAGE,11.0,DEBTCONSOLIDATION,A,10000,7.88,0.14,N,7,0
61294,25,60000,MORTGAGE,6.0,PERSONAL,B,4000,9.25,0.07,N,2,0
61295,25,162000,RENT,9.0,PERSONAL,C,20000,13.47,0.12,Y,4,0
61296,42,60000,RENT,6.0,PERSONAL,B,6000,10.38,0.1,N,12,0
61297,24,35000,MORTGAGE,6.0,PERSONAL,A,7200,6.91,0.21,N,4,0
61298,22,39996,RENT,6.0,EDUCATION,B,3500,11.86,0.09,N,2,0
61299,25,74678,MORTGAGE,9.0,DEBTCONSOLIDATION,C,4000,15.23,0.05,Y,3,0
61300,22,45000,RENT,2.0,PERSONAL,C,16000,13.98,0.36,Y,4,1
61301,27,75000,RENT,3.0,MEDICAL,C,10000,12.68,0.13,Y,5,0
61302,30,70000,MORTGAGE,14.0,MEDICAL,A,8000,7.49,0.11,N,6,0
61303,30,54000,MORTGAGE,14.0,MEDICAL,A,5000,5.42,0.09,N,5,0
61304,28,52800,MORTGAGE,3.0,MEDICAL,C,5600,15.96,0.11,N,8,0
61305,34,80000,MORTGAGE,5.0,VENTURE,B,18000,9.33,0.23,N,9,0
61306,23,60000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,10000,8.9,0.17,N,2,0
61307,28,59520,MORTGAGE,12.0,HOMEIMPROVEMENT,B,15000,11.83,0.25,N,10,0
61308,28,61200,MORTGAGE,12.0,EDUCATION,A,13500,6.99,0.21,N,7,0
61309,27,80000,MORTGAGE,0.0,VENTURE,A,20000,6.54,0.25,N,7,0
61310,25,38400,RENT,9.0,DEBTCONSOLIDATION,A,10000,7.88,0.26,N,4,0
